Song,Mood,Time,Activity,Energy,Tempo,Recommendation_Label
As It Was - Harry Styles,Energetic,Evening,Workout,0.38,72,336
Flowers - Miley Cyrus,Energetic,Morning,Workout,0.49,81,337
Anti-Hero - Taylor Swift,Calm,Night,Chilling,0.53,64,338
Perfect,Sad,Evening,Relaxing,0.72,92,339
Tum Hi Ho,Happy,Evening,Chilling,0.54,71,340
Tera Ban Jaunga,Sad,Night,Relaxing,0.74,70,341
Shape of You,Calm,Morning,Chilling,0.81,115,342
Senorita,Happy,Night,Chilling,0.83,81,343
Je Chhau Timi - Sushant KC,Sad,Afternoon,Chilling,0.78,111,344
Yo Mann Ta Mero Nepali Ho,Sad,Afternoon,Studying,0.5,84,345
Umer Jasto - Neetesh Jung Kunwar,Sad,Evening,Workout,0.32,79,346
Tera Ban Jaunga,Happy,Evening,Chilling,0.91,105,347
Yo Mann Ta Mero Nepali Ho,Happy,Evening,Workout,0.94,65,348
Paint The Town Red - Doja Cat,Sad,Evening,Studying,0.46,124,349
Kal Ho Naa Ho,Happy,Afternoon,Relaxing,0.99,107,350
Paint The Town Red - Doja Cat,Sad,Evening,Workout,0.58,81,351
Sannani - VTEN,Happy,Evening,Workout,0.73,69,352
Dance The Night - Dua Lipa,Calm,Night,Studying,0.8,88,353
Sa Karnali,Calm,Morning,Chilling,0.56,80,354
Calm Down - Rema,Sad,Evening,Workout,0.63,128,355
Blinding Lights,Energetic,Afternoon,Workout,0.73,68,356
Farki Farki - Rohit John Chhetri,Calm,Night,Studying,0.84,60,357
Shayad,Sad,Night,Studying,0.93,61,358
Dance The Night - Dua Lipa,Happy,Night,Relaxing,0.56,122,359
Heeriye - Jasleen Royal,Happy,Afternoon,Workout,0.37,121,360
Sannani - VTEN,Calm,Night,Relaxing,0.75,96,361
Tera Ban Jaunga,Energetic,Morning,Chilling,0.77,63,362
As It Was - Harry Styles,Energetic,Evening,Workout,0.78,126,363
Saili,Sad,Afternoon,Chilling,0.52,120,364
Shape of You,Calm,Afternoon,Chilling,0.95,129,365
Calm Down - Rema,Happy,Afternoon,Workout,0.47,128,366
Unholy - Sam Smith,Calm,Evening,Relaxing,0.45,80,367
Jhoome Jo Pathaan - Pathaan,Happy,Morning,Chilling,0.34,109,368
Sa Karnali,Happy,Evening,Relaxing,0.95,127,369
Jhoome Jo Pathaan - Pathaan,Calm,Night,Chilling,0.64,101,370
Calm Down - Rema,Sad,Afternoon,Relaxing,0.47,81,371
Kesariya - Brahmastra,Calm,Evening,Chilling,0.84,116,372
Jhoome Jo Pathaan - Pathaan,Happy,Afternoon,Chilling,0.89,94,373
Bekhayali,Happy,Morning,Chilling,0.88,67,374
Heeriye - Jasleen Royal,Sad,Night,Workout,0.52,119,375
Apna Bana Le - Bhediya,Happy,Night,Relaxing,0.7,117,376
Shayad,Calm,Morning,Studying,0.51,130,377
Memories,Sad,Afternoon,Relaxing,0.98,101,378
Je Chhau Timi - Sushant KC,Calm,Morning,Studying,0.94,128,379
Apna Bana Le - Bhediya,Calm,Evening,Studying,0.83,128,380
Tere Vaaste - Zara Hatke Zara Bachke,Energetic,Evening,Workout,0.42,66,381
Sa Karnali,Sad,Morning,Studying,0.57,123,382
Memories,Energetic,Morning,Workout,0.38,78,383
Umer Jasto - Neetesh Jung Kunwar,Sad,Afternoon,Chilling,0.83,81,384
Tera Ban Jaunga,Energetic,Afternoon,Studying,0.37,63,385
Heeriye - Jasleen Royal,Calm,Evening,Studying,0.5,119,386
Paint The Town Red - Doja Cat,Happy,Evening,Studying,0.42,124,387
Tera Ban Jaunga,Sad,Afternoon,Workout,0.32,104,388
Timi Nai Hau,Energetic,Night,Studying,0.43,86,389
Sa Karnali,Sad,Night,Studying,0.98,61,390
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Afternoon,Studying,0.4,97,391
Flowers - Miley Cyrus,Calm,Night,Chilling,0.62,88,392
Sannani - VTEN,Sad,Morning,Chilling,0.57,106,393
Pasoori Nu - Satyaprem Ki Katha,Happy,Morning,Relaxing,0.89,114,394
Je Chhau Timi - Sushant KC,Calm,Afternoon,Workout,0.75,87,395
Perfect,Sad,Night,Studying,0.49,75,396
Umer Jasto - Neetesh Jung Kunwar,Energetic,Night,Workout,0.9,69,397
Shayad,Energetic,Evening,Workout,0.85,83,398
Tera Ban Jaunga,Happy,Night,Chilling,0.85,110,399
Bekhayali,Calm,Afternoon,Studying,0.75,87,400
Pasoori Nu - Satyaprem Ki Katha,Energetic,Evening,Relaxing,0.88,70,401
Farki Farki - Rohit John Chhetri,Sad,Night,Workout,0.83,62,402
Memories,Energetic,Evening,Workout,0.84,83,403
Memories,Energetic,Morning,Chilling,0.57,106,404
Je Chhau Timi - Sushant KC,Happy,Afternoon,Studying,0.75,129,405
Maya Pirati - Swoopna Suman,Energetic,Afternoon,Chilling,0.61,64,406
Memories,Sad,Afternoon,Relaxing,0.78,94,407
Dance The Night - Dua Lipa,Sad,Afternoon,Relaxing,0.54,102,408
Farki Farki - Rohit John Chhetri,Happy,Morning,Studying,0.57,125,409
Maya Pirati - Swoopna Suman,Sad,Morning,Relaxing,0.5,127,410
Pasoori Nu - Satyaprem Ki Katha,Happy,Evening,Chilling,0.61,102,411
Memories,Sad,Evening,Chilling,0.41,93,412
Kal Ho Naa Ho,Energetic,Morning,Relaxing,0.38,119,413
Pasoori Nu - Satyaprem Ki Katha,Happy,Night,Studying,0.87,60,414
Jhoome Jo Pathaan - Pathaan,Calm,Night,Workout,0.61,106,415
Laija Re,Sad,Evening,Chilling,0.42,83,416
Sa Karnali,Energetic,Night,Relaxing,0.72,60,417
Farki Farki - Rohit John Chhetri,Energetic,Evening,Studying,0.36,71,418
Umer Jasto - Neetesh Jung Kunwar,Happy,Evening,Studying,0.57,95,419
Timi Nai Hau,Sad,Morning,Chilling,0.84,118,420
Timi Nai Hau,Happy,Evening,Studying,0.4,66,421
Umer Jasto - Neetesh Jung Kunwar,Calm,Afternoon,Chilling,0.59,95,422
Kal Ho Naa Ho,Sad,Morning,Studying,0.52,62,423
Bekhayali,Sad,Night,Relaxing,0.37,79,424
Dance The Night - Dua Lipa,Energetic,Night,Workout,0.69,118,425
Tera Ban Jaunga,Energetic,Afternoon,Relaxing,0.58,70,426
Calm Down - Rema,Calm,Night,Chilling,0.32,79,427
Heeriye - Jasleen Royal,Happy,Night,Relaxing,0.49,75,428
Heeriye - Jasleen Royal,Energetic,Morning,Studying,0.59,120,429
Umer Jasto - Neetesh Jung Kunwar,Calm,Morning,Studying,0.68,73,430
Unholy - Sam Smith,Sad,Evening,Relaxing,0.68,74,431
Shayad,Sad,Morning,Studying,0.35,75,432
Calm Down - Rema,Sad,Night,Workout,1.0,108,433
Kal Ho Naa Ho,Sad,Evening,Studying,0.66,65,434
Kesariya - Brahmastra,Calm,Morning,Studying,0.44,124,435
Apna Bana Le - Bhediya,Energetic,Morning,Workout,0.7,103,436
Bekhayali,Calm,Evening,Studying,0.66,79,437
Timi Nai Hau,Energetic,Morning,Relaxing,0.66,63,438
Laija Re,Happy,Night,Chilling,0.5,87,439
Memories,Energetic,Night,Studying,0.45,86,440
Sa Karnali,Calm,Afternoon,Workout,0.88,97,441
Shape of You,Energetic,Night,Studying,0.31,111,442
Senorita,Happy,Afternoon,Studying,0.61,111,443
Perfect,Energetic,Evening,Workout,0.57,96,444
Flowers - Miley Cyrus,Happy,Evening,Studying,0.92,62,445
Yo Mann Ta Mero Nepali Ho,Sad,Evening,Workout,0.79,95,446
Kal Ho Naa Ho,Sad,Morning,Workout,0.8,125,447
Laija Re,Sad,Afternoon,Studying,0.77,105,448
Tum Hi Ho,Energetic,Morning,Studying,0.8,77,449
Calm Down - Rema,Energetic,Evening,Studying,0.61,114,450
Teenpatey - Tribal Rain,Sad,Morning,Relaxing,0.62,69,451
Laija Re,Energetic,Afternoon,Chilling,0.32,108,452
Flowers - Miley Cyrus,Calm,Afternoon,Chilling,0.41,119,453
Maya Pirati - Swoopna Suman,Happy,Evening,Workout,0.57,124,454
Bekhayali,Calm,Morning,Relaxing,0.67,97,455
Saili,Happy,Evening,Workout,0.84,116,456
Dance The Night - Dua Lipa,Happy,Night,Chilling,0.94,94,457
Perfect,Calm,Afternoon,Workout,0.79,82,458
Bekhayali,Energetic,Night,Studying,0.73,127,459
Heeriye - Jasleen Royal,Sad,Evening,Relaxing,0.54,116,460
Sa Karnali,Sad,Afternoon,Chilling,0.5,61,461
Perfect,Sad,Morning,Relaxing,0.75,90,462
Apna Bana Le - Bhediya,Energetic,Afternoon,Workout,0.65,129,463
Shape of You,Sad,Night,Studying,0.98,62,464
Umer Jasto - Neetesh Jung Kunwar,Energetic,Afternoon,Chilling,0.99,113,465
Timi Nai Hau,Calm,Night,Relaxing,0.63,91,466
Heeriye - Jasleen Royal,Happy,Evening,Chilling,0.67,104,467
Tere Vaaste - Zara Hatke Zara Bachke,Energetic,Afternoon,Workout,0.8,62,468
Maya Pirati - Swoopna Suman,Sad,Afternoon,Workout,0.99,63,469
Teenpatey - Tribal Rain,Sad,Night,Studying,0.53,129,470
Kesariya - Brahmastra,Calm,Morning,Relaxing,0.71,109,471
Je Chhau Timi - Sushant KC,Happy,Night,Workout,0.99,86,472
Shayad,Energetic,Afternoon,Chilling,0.42,76,473
As It Was - Harry Styles,Happy,Night,Studying,0.74,65,474
Yo Mann Ta Mero Nepali Ho,Calm,Night,Relaxing,0.51,66,475
Apna Bana Le - Bhediya,Calm,Evening,Workout,0.97,120,476
Anti-Hero - Taylor Swift,Energetic,Afternoon,Chilling,0.35,60,477
Tere Vaaste - Zara Hatke Zara Bachke,Happy,Afternoon,Chilling,0.7,84,478
Apna Bana Le - Bhediya,Happy,Night,Relaxing,0.83,81,479
Pasoori Nu - Satyaprem Ki Katha,Energetic,Morning,Studying,0.57,61,480
Perfect,Calm,Morning,Relaxing,0.94,128,481
Kal Ho Naa Ho,Energetic,Morning,Workout,0.6,100,482
Shape of You,Calm,Afternoon,Chilling,0.43,102,483
Yo Mann Ta Mero Nepali Ho,Sad,Evening,Relaxing,0.82,110,484
Unholy - Sam Smith,Calm,Morning,Relaxing,0.62,73,485
Bekhayali,Happy,Night,Workout,0.71,85,486
Sannani - VTEN,Happy,Morning,Chilling,0.76,112,487
Blinding Lights,Happy,Night,Studying,0.6,84,488
Teenpatey - Tribal Rain,Energetic,Morning,Relaxing,0.77,65,489
Apna Bana Le - Bhediya,Energetic,Evening,Workout,0.5,79,490
Dance The Night - Dua Lipa,Happy,Afternoon,Workout,0.7,117,491
Calm Down - Rema,Happy,Morning,Workout,0.95,90,492
Saili,Energetic,Afternoon,Studying,0.79,128,493
As It Was - Harry Styles,Happy,Night,Chilling,0.57,78,494
Teenpatey - Tribal Rain,Happy,Morning,Relaxing,0.35,125,495
Bekhayali,Energetic,Night,Relaxing,0.67,71,496
Maya Pirati - Swoopna Suman,Sad,Night,Workout,0.49,95,497
Jhoome Jo Pathaan - Pathaan,Sad,Afternoon,Studying,0.89,72,498
Yo Mann Ta Mero Nepali Ho,Happy,Night,Studying,0.8,126,499
Memories,Sad,Night,Chilling,0.52,66,500
Heeriye - Jasleen Royal,Sad,Morning,Chilling,0.81,71,501
Shayad,Happy,Night,Studying,0.41,110,502
Tera Ban Jaunga,Energetic,Afternoon,Studying,0.58,128,503
Jhoome Jo Pathaan - Pathaan,Energetic,Morning,Relaxing,0.78,117,504
Sannani - VTEN,Happy,Afternoon,Workout,0.54,89,505
Anti-Hero - Taylor Swift,Sad,Afternoon,Relaxing,0.92,68,506
Sa Karnali,Calm,Night,Relaxing,0.68,98,507
Kesariya - Brahmastra,Calm,Afternoon,Relaxing,0.59,60,508
Je Chhau Timi - Sushant KC,Sad,Afternoon,Studying,0.92,102,509
Tera Ban Jaunga,Happy,Evening,Workout,0.36,99,510
Blinding Lights,Sad,Night,Chilling,0.84,68,511
Teenpatey - Tribal Rain,Sad,Morning,Relaxing,0.57,121,512
Laija Re,Happy,Night,Chilling,0.82,99,513
Sannani - VTEN,Energetic,Afternoon,Relaxing,0.45,104,514
Blinding Lights,Calm,Afternoon,Workout,0.63,100,515
Blinding Lights,Happy,Morning,Workout,0.71,97,516
Flowers - Miley Cyrus,Happy,Afternoon,Chilling,0.91,113,517
Teenpatey - Tribal Rain,Energetic,Afternoon,Workout,0.74,130,518
Timi Nai Hau,Calm,Evening,Studying,0.48,69,519
Tera Ban Jaunga,Calm,Night,Studying,0.44,113,520
Sa Karnali,Energetic,Evening,Studying,0.42,128,521
Sa Karnali,Sad,Morning,Studying,0.82,95,522
Tum Hi Ho,Energetic,Morning,Relaxing,0.63,79,523
Unholy - Sam Smith,Happy,Evening,Chilling,0.69,100,524
Unholy - Sam Smith,Happy,Morning,Chilling,0.41,64,525
Jhoome Jo Pathaan - Pathaan,Calm,Afternoon,Chilling,0.73,87,526
Pasoori Nu - Satyaprem Ki Katha,Happy,Afternoon,Workout,0.47,81,527
Tere Vaaste - Zara Hatke Zara Bachke,Calm,Evening,Workout,0.55,101,528
Shape of You,Sad,Morning,Studying,0.66,71,529
Paint The Town Red - Doja Cat,Calm,Afternoon,Relaxing,0.67,124,530
Shayad,Energetic,Afternoon,Relaxing,0.52,99,531
Senorita,Calm,Evening,Relaxing,0.44,103,532
Heeriye - Jasleen Royal,Sad,Morning,Workout,0.46,78,533
Timi Nai Hau,Energetic,Morning,Chilling,0.52,109,534
Bekhayali,Energetic,Evening,Relaxing,0.46,86,535
Paint The Town Red - Doja Cat,Happy,Night,Relaxing,0.48,76,536
Je Chhau Timi - Sushant KC,Sad,Evening,Chilling,0.7,75,537
Shayad,Happy,Evening,Studying,0.64,77,538
Dance The Night - Dua Lipa,Sad,Morning,Chilling,0.35,103,539
Tera Ban Jaunga,Happy,Afternoon,Studying,0.54,126,540
Timi Nai Hau,Sad,Morning,Studying,0.79,60,541
Paint The Town Red - Doja Cat,Happy,Night,Chilling,0.7,65,542
Perfect,Happy,Morning,Relaxing,0.52,101,543
Sa Karnali,Sad,Evening,Chilling,0.41,105,544
Dance The Night - Dua Lipa,Happy,Afternoon,Workout,0.57,96,545
Yo Mann Ta Mero Nepali Ho,Calm,Night,Relaxing,0.58,71,546
Paint The Town Red - Doja Cat,Sad,Afternoon,Studying,0.42,104,547
Bekhayali,Sad,Morning,Workout,0.78,97,548
Tum Hi Ho,Energetic,Night,Workout,0.43,121,549
Timi Nai Hau,Energetic,Afternoon,Chilling,0.75,76,550
Je Chhau Timi - Sushant KC,Happy,Afternoon,Relaxing,0.71,115,551
Tera Ban Jaunga,Energetic,Afternoon,Studying,0.36,102,552
Bekhayali,Energetic,Afternoon,Chilling,0.9,88,553
Sa Karnali,Happy,Afternoon,Relaxing,0.93,74,554
Paint The Town Red - Doja Cat,Sad,Evening,Workout,0.89,65,555
Kal Ho Naa Ho,Energetic,Evening,Chilling,0.56,94,556
Je Chhau Timi - Sushant KC,Sad,Evening,Relaxing,0.75,82,557
Senorita,Calm,Morning,Relaxing,0.39,84,558
Shayad,Happy,Afternoon,Relaxing,0.84,120,559
Apna Bana Le - Bhediya,Energetic,Evening,Relaxing,0.88,102,560
As It Was - Harry Styles,Calm,Evening,Workout,0.51,77,561
Blinding Lights,Calm,Evening,Studying,0.58,85,562
Teenpatey - Tribal Rain,Energetic,Night,Chilling,0.98,113,563
Shayad,Calm,Evening,Workout,0.47,103,564
Perfect,Sad,Afternoon,Workout,0.91,68,565
Heeriye - Jasleen Royal,Energetic,Night,Studying,0.84,67,566
Paint The Town Red - Doja Cat,Calm,Morning,Workout,0.83,61,567
Perfect,Happy,Morning,Workout,0.77,101,568
Dance The Night - Dua Lipa,Sad,Afternoon,Workout,0.69,85,569
As It Was - Harry Styles,Energetic,Evening,Studying,0.66,81,570
Anti-Hero - Taylor Swift,Energetic,Evening,Relaxing,0.47,110,571
Senorita,Sad,Night,Relaxing,0.78,129,572
Sa Karnali,Happy,Afternoon,Workout,1.0,130,573
Shape of You,Sad,Evening,Relaxing,1.0,67,574
Teenpatey - Tribal Rain,Happy,Afternoon,Workout,0.51,121,575
Unholy - Sam Smith,Happy,Afternoon,Relaxing,0.4,92,576
Tum Hi Ho,Happy,Afternoon,Chilling,0.61,110,577
Maya Pirati - Swoopna Suman,Energetic,Morning,Chilling,0.41,111,578
Senorita,Calm,Evening,Relaxing,0.91,106,579
Shape of You,Energetic,Morning,Studying,0.43,94,580
Sa Karnali,Happy,Afternoon,Chilling,1.0,94,581
Blinding Lights,Happy,Morning,Workout,0.38,81,582
As It Was - Harry Styles,Happy,Afternoon,Workout,0.56,73,583
Flowers - Miley Cyrus,Happy,Afternoon,Studying,0.88,107,584
Maya Pirati - Swoopna Suman,Sad,Evening,Studying,0.46,76,585
Calm Down - Rema,Calm,Night,Relaxing,0.63,125,586
Shayad,Happy,Afternoon,Workout,0.94,95,587
Paint The Town Red - Doja Cat,Sad,Evening,Studying,0.34,75,588
Paint The Town Red - Doja Cat,Happy,Afternoon,Chilling,0.99,125,589
Flowers - Miley Cyrus,Calm,Afternoon,Workout,0.88,102,590
Yo Mann Ta Mero Nepali Ho,Calm,Afternoon,Studying,0.38,60,591
Yo Mann Ta Mero Nepali Ho,Happy,Evening,Studying,0.59,60,592
Maya Pirati - Swoopna Suman,Energetic,Morning,Studying,0.97,64,593
Pasoori Nu - Satyaprem Ki Katha,Energetic,Evening,Workout,0.33,84,594
Sannani - VTEN,Happy,Evening,Relaxing,0.47,94,595
Memories,Calm,Afternoon,Chilling,0.88,127,596
Yo Mann Ta Mero Nepali Ho,Happy,Afternoon,Chilling,0.6,95,597
Jhoome Jo Pathaan - Pathaan,Energetic,Evening,Workout,0.66,65,598
Tere Vaaste - Zara Hatke Zara Bachke,Calm,Evening,Relaxing,0.43,90,599
Apna Bana Le - Bhediya,Sad,Afternoon,Studying,0.63,109,600
Maya Pirati - Swoopna Suman,Sad,Morning,Chilling,0.8,74,601
Jhoome Jo Pathaan - Pathaan,Calm,Night,Studying,0.82,93,602
Shape of You,Energetic,Evening,Chilling,0.88,125,603
Apna Bana Le - Bhediya,Sad,Evening,Relaxing,0.43,66,604
Kal Ho Naa Ho,Energetic,Evening,Studying,0.98,105,605
Je Chhau Timi - Sushant KC,Calm,Morning,Relaxing,0.97,85,606
Jhoome Jo Pathaan - Pathaan,Happy,Evening,Studying,0.95,103,607
Blinding Lights,Sad,Afternoon,Chilling,0.62,68,608
Maya Pirati - Swoopna Suman,Energetic,Night,Studying,0.66,82,609
Pasoori Nu - Satyaprem Ki Katha,Calm,Evening,Workout,0.63,107,610
Farki Farki - Rohit John Chhetri,Calm,Night,Relaxing,0.99,103,611
Tere Vaaste - Zara Hatke Zara Bachke,Happy,Morning,Chilling,0.54,88,612
Perfect,Sad,Afternoon,Relaxing,0.81,66,613
Umer Jasto - Neetesh Jung Kunwar,Sad,Evening,Chilling,0.37,82,614
Unholy - Sam Smith,Happy,Morning,Studying,0.8,130,615
Memories,Happy,Afternoon,Studying,0.73,112,616
Tum Hi Ho,Energetic,Morning,Studying,0.64,78,617
Tera Ban Jaunga,Sad,Night,Chilling,0.46,95,618
Heeriye - Jasleen Royal,Sad,Night,Relaxing,0.52,75,619
Je Chhau Timi - Sushant KC,Calm,Afternoon,Workout,0.58,69,620
Kal Ho Naa Ho,Calm,Morning,Chilling,0.67,126,621
Blinding Lights,Energetic,Afternoon,Relaxing,0.57,91,622
Tum Hi Ho,Energetic,Morning,Workout,0.87,108,623
Blinding Lights,Energetic,Afternoon,Relaxing,0.96,79,624
Farki Farki - Rohit John Chhetri,Calm,Evening,Chilling,0.82,113,625
Je Chhau Timi - Sushant KC,Energetic,Afternoon,Chilling,0.48,78,626
Teenpatey - Tribal Rain,Energetic,Evening,Relaxing,0.78,125,627
Laija Re,Calm,Afternoon,Workout,0.57,60,628
Heeriye - Jasleen Royal,Happy,Afternoon,Relaxing,0.45,99,629
Tum Hi Ho,Calm,Morning,Studying,0.92,61,630
Shayad,Energetic,Afternoon,Workout,0.32,130,631
Pasoori Nu - Satyaprem Ki Katha,Sad,Night,Workout,0.86,73,632
Paint The Town Red - Doja Cat,Sad,Night,Studying,0.34,70,633
Kesariya - Brahmastra,Happy,Evening,Studying,0.53,115,634
Timi Nai Hau,Sad,Morning,Studying,1.0,74,635
Memories,Sad,Afternoon,Relaxing,0.54,84,636
Umer Jasto - Neetesh Jung Kunwar,Energetic,Evening,Studying,0.5,110,637
Shayad,Energetic,Afternoon,Relaxing,0.78,84,638
As It Was - Harry Styles,Happy,Afternoon,Studying,0.45,98,639
Tera Ban Jaunga,Happy,Morning,Chilling,0.76,105,640
Heeriye - Jasleen Royal,Energetic,Night,Workout,0.63,129,641
Tum Hi Ho,Sad,Afternoon,Relaxing,0.56,115,642
Perfect,Sad,Night,Relaxing,0.33,112,643
Memories,Happy,Night,Workout,0.35,89,644
Perfect,Sad,Morning,Workout,0.77,78,645
Flowers - Miley Cyrus,Sad,Afternoon,Relaxing,0.7,76,646
Maya Pirati - Swoopna Suman,Calm,Night,Chilling,0.52,97,647
Flowers - Miley Cyrus,Happy,Morning,Chilling,0.47,111,648
Paint The Town Red - Doja Cat,Happy,Morning,Studying,0.54,64,649
Kal Ho Naa Ho,Sad,Night,Chilling,0.38,106,650
Saili,Energetic,Morning,Relaxing,0.58,101,651
Tum Hi Ho,Happy,Morning,Studying,0.72,83,652
Senorita,Sad,Morning,Chilling,0.47,85,653
Yo Mann Ta Mero Nepali Ho,Calm,Evening,Workout,0.81,60,654
Saili,Calm,Afternoon,Relaxing,0.79,111,655
Kesariya - Brahmastra,Happy,Afternoon,Studying,0.91,122,656
Tere Vaaste - Zara Hatke Zara Bachke,Energetic,Afternoon,Chilling,0.38,79,657
Teenpatey - Tribal Rain,Sad,Evening,Relaxing,0.35,112,658
Apna Bana Le - Bhediya,Sad,Night,Chilling,0.63,114,659
Jhoome Jo Pathaan - Pathaan,Happy,Afternoon,Workout,0.31,71,660
Jhoome Jo Pathaan - Pathaan,Sad,Afternoon,Workout,0.78,65,661
Teenpatey - Tribal Rain,Happy,Evening,Workout,0.49,106,662
Tera Ban Jaunga,Happy,Afternoon,Workout,0.52,65,663
As It Was - Harry Styles,Happy,Night,Workout,0.78,70,664
Sannani - VTEN,Sad,Morning,Chilling,0.83,68,665
Anti-Hero - Taylor Swift,Sad,Evening,Relaxing,0.31,120,666
